Album,Artist,Artwork Count,Bit Rate,Date Added,Date Modified,File Folder Count,Genre,Has Video,Kind,Library Folder Count,Location,Movie,Name,Persistent ID,Play Count,Play Date,Play Date UTC,Podcast,Purchased,Release Date,Sample Rate,Size,Total Time,Track ID,Track Number,Track Type,Unplayed,Year
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/S_S1L3_071910_ppod101.mp3,,Survival Phrases #3 - Please!,0545155D9321D2BA,1,,,,,2014-10-30T09:30:00Z,44100,3460734,277000,2808,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/AB_S1L1_070710_ppod101.mp3,,"Advanced Lesson #1 - Seriously, Let's Visit the Polish Bathrooms!",B652C8D835A71D58,1,,,,,2014-10-31T09:24:00Z,44100,3867538,282000,2810,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/AB_S1L2_071410_ppod101.mp3,,Advanced Lesson #2 - Want to Do Business with the Polish Goats?,2FB8AA6568876291,1,,,,,2014-10-31T09:27:00Z,44100,3319101,238000,2812,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/AB_S1L3_072110_ppod101.mp3,,Advanced Lesson #3 - The King of the Polish Forest,10ED25C393E5F1C7,1,,,,,2014-10-31T09:30:00Z,44100,3840323,278000,2814,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/V_S1L1_070910_ppod101_video.m4v,,Video #1 - Learning Polish Vocabulary for Common Animals,D89EB61C332F9AEF,1,,,,,2014-11-01T09:30:00Z,44100,27763923,142000,2816,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/V_S2L1_010711_ppod101_video.m4v,,Video - Pictures & Video #1 - Talking About Your Daily Routine in Polish,51B7822F86BF2AA5,1,,,,,2014-11-02T09:28:00Z,44100,40322364,200000,2818,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/V_S2L2_011411_ppod101_video.m4v,,Video - Pictures & Video #2 - Relaxing in the Evening with Polish,09668F560903F0AE,1,3574513633,2017-04-08T14:27:13Z,,,2014-11-02T09:30:00Z,44100,37258332,200000,2820,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/B_S1L1_010713_ppod101.mp3,,Beginner Lesson #1 - Easy Self-Introductions in Polish 1,A2F867331FA996F4,1,3574513633,2017-04-08T14:27:13Z,,,2014-11-04T09:30:00Z,44100,14205198,590000,2822,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/B_S1L2_011413_ppod101.mp3,,Beginner Lesson #2 - Easy Self-Introductions in Polish 2,49215878BF9BC699,1,3574513633,2017-04-08T14:27:13Z,,,2014-11-04T09:31:00Z,44100,16925486,703000,2824,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/B_S1L3_012113_ppod101.mp3,,Beginner Lesson #3 - Knowing How to Ask Certain Questions Can Save Your Skin in Poland,4D7E65898B92B0DA,1,3574513633,2017-04-08T14:27:13Z,,,2014-11-04T09:32:00Z,44100,17170619,713000,2826,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/TQ_S1L2_071513_ppod101.mp3,,Top 25 Questions #2 - Where are you from? in Polish,FF2EF7191CC29700,1,3574513633,2017-04-08T14:27:13Z,,,2014-11-06T09:28:02Z,44100,9074958,376000,2828,2,URL,,2013
